stock_id,group,role,role_label,basis
2327,passive,ceramic,陶瓷與多元被動,universe.biz manual_v1
2492,passive,ceramic,陶瓷與多元被動,universe.biz manual_v1
3026,passive,ceramic,陶瓷與多元被動,universe.biz manual_v1
2375,passive,resistor_protection,電阻與保護元件,universe.biz manual_v1
3236,passive,magnetics_rf,磁性與射頻元件,universe.biz manual_v1
2472,passive,capacitor,電解與薄膜電容,universe.biz manual_v1
2478,passive,resistor_protection,電阻與保護元件,universe.biz manual_v1
6173,passive,ceramic,陶瓷與多元被動,universe.biz manual_v1
5328,passive,capacitor,電解與薄膜電容,universe.biz manual_v1
6284,passive,magnetics_rf,磁性與射頻元件,universe.biz manual_v1
2428,passive,resistor_protection,電阻與保護元件,universe.biz manual_v1
6449,passive,capacitor,電解與薄膜電容,universe.biz manual_v1
2481,power,discrete,功率分離元件,universe.biz manual_v1
5425,power,discrete,功率分離元件,universe.biz manual_v1
8261,power,discrete,功率分離元件,universe.biz manual_v1
6435,power,discrete,功率分離元件,universe.biz manual_v1
3675,power,discrete,功率分離元件,universe.biz manual_v1
6415,power,power_ic,電源管理與驅動IC,universe.biz manual_v1
5299,power,power_ic,電源管理與驅動IC,universe.biz manual_v1
3317,power,discrete,功率分離元件,universe.biz manual_v1
8255,power,discrete,功率分離元件,universe.biz manual_v1
3707,power,epi,功率磊晶與代工,universe.biz manual_v1
3016,power,epi,功率磊晶與代工,universe.biz manual_v1
6138,power,power_ic,電源管理與驅動IC,universe.biz manual_v1
8081,power,power_ic,電源管理與驅動IC,universe.biz manual_v1
6525,packtest,osat,封裝與整合封測,universe.biz manual_v1
3711,packtest,osat,封裝與整合封測,universe.biz manual_v1
2449,packtest,test,晶片測試服務,universe.biz manual_v1
6239,packtest,osat,封裝與整合封測,universe.biz manual_v1
6147,packtest,osat,封裝與整合封測,universe.biz manual_v1
8150,packtest,osat,封裝與整合封測,universe.biz manual_v1
6257,packtest,test,晶片測試服務,universe.biz manual_v1
3264,packtest,test,晶片測試服務,universe.biz manual_v1
2441,packtest,osat,封裝與整合封測,universe.biz manual_v1
2369,packtest,osat,封裝與整合封測,universe.biz manual_v1
2329,packtest,osat,封裝與整合封測,universe.biz manual_v1
6271,packtest,osat,封裝與整合封測,universe.biz manual_v1
8131,packtest,osat,封裝與整合封測,universe.biz manual_v1
6451,packtest,osat,封裝與整合封測,universe.biz manual_v1
2408,memory,idm,記憶體製造,universe.biz manual_v1
2344,memory,idm,記憶體製造,universe.biz manual_v1
2337,memory,idm,記憶體製造,universe.biz manual_v1
8299,memory,module_controller,控制器與記憶體模組,universe.biz manual_v1
3006,memory,design,利基記憶體設計,universe.biz manual_v1
5351,memory,design,利基記憶體設計,universe.biz manual_v1
6531,memory,design,利基記憶體設計,universe.biz manual_v1
3260,memory,module_controller,控制器與記憶體模組,universe.biz manual_v1
2451,memory,module_controller,控制器與記憶體模組,universe.biz manual_v1
4967,memory,module_controller,控制器與記憶體模組,universe.biz manual_v1
8271,memory,module_controller,控制器與記憶體模組,universe.biz manual_v1
5289,memory,module_controller,控制器與記憶體模組,universe.biz manual_v1
3661,ipdesign,asic,ASIC設計服務,universe.biz manual_v1
3443,ipdesign,asic,ASIC設計服務,universe.biz manual_v1
3035,ipdesign,asic,ASIC設計服務,universe.biz manual_v1
3529,ipdesign,ip,矽智財授權,universe.biz manual_v1
6643,ipdesign,ip,矽智財授權,universe.biz manual_v1
6533,ipdesign,ip,矽智財授權,universe.biz manual_v1
5269,ipdesign,interface_ic,高速介面與系統IC,universe.biz manual_v1
5274,ipdesign,interface_ic,高速介面與系統IC,universe.biz manual_v1
4966,ipdesign,interface_ic,高速介面與系統IC,universe.biz manual_v1
3131,semiequip,equipment,製程與封裝設備,universe.biz manual_v1
3583,semiequip,equipment,製程與封裝設備,universe.biz manual_v1
6187,semiequip,equipment,製程與封裝設備,universe.biz manual_v1
6640,semiequip,equipment,製程與封裝設備,universe.biz manual_v1
3680,semiequip,interface,載具與測試介面,universe.biz manual_v1
3413,semiequip,equipment,製程與封裝設備,universe.biz manual_v1
6223,semiequip,interface,載具與測試介面,universe.biz manual_v1
6515,semiequip,interface,載具與測試介面,universe.biz manual_v1
6510,semiequip,interface,載具與測試介面,universe.biz manual_v1
3587,semiequip,lab,分析與驗證實驗室,universe.biz manual_v1
3289,semiequip,lab,分析與驗證實驗室,universe.biz manual_v1
6830,semiequip,lab,分析與驗證實驗室,universe.biz manual_v1
6488,material,wafer,矽晶圓與再生晶圓,universe.biz manual_v1
3532,material,wafer,矽晶圓與再生晶圓,universe.biz manual_v1
6182,material,wafer,矽晶圓與再生晶圓,universe.biz manual_v1
1560,material,consumable,耗材與靶材,universe.biz manual_v1
1785,material,consumable,耗材與靶材,universe.biz manual_v1
1773,material,chemical,化學品與製程材料,universe.biz manual_v1
4755,material,chemical,化學品與製程材料,universe.biz manual_v1
5234,material,chemical,化學品與製程材料,universe.biz manual_v1
8028,material,wafer,矽晶圓與再生晶圓,universe.biz manual_v1
4770,material,chemical,化學品與製程材料,universe.biz manual_v1
3017,thermal,module,散熱與液冷模組,universe.biz manual_v1
3324,thermal,module,散熱與液冷模組,universe.biz manual_v1
2421,thermal,module,散熱與液冷模組,universe.biz manual_v1
3653,thermal,component,散熱關鍵零件,universe.biz manual_v1
3483,thermal,module,散熱與液冷模組,universe.biz manual_v1
3338,thermal,module,散熱與液冷模組,universe.biz manual_v1
8996,thermal,component,散熱關鍵零件,universe.biz manual_v1
2383,pcb,material,銅箔基板與上游材料,universe.biz manual_v1
6274,pcb,material,銅箔基板與上游材料,universe.biz manual_v1
6213,pcb,material,銅箔基板與上游材料,universe.biz manual_v1
8358,pcb,material,銅箔基板與上游材料,universe.biz manual_v1
1815,pcb,material,銅箔基板與上游材料,universe.biz manual_v1
2368,pcb,board,伺服器與多層板,universe.biz manual_v1
3044,pcb,board,伺服器與多層板,universe.biz manual_v1
8155,pcb,board,伺服器與多層板,universe.biz manual_v1
5439,pcb,board,伺服器與多層板,universe.biz manual_v1
3037,pcb,substrate,IC與ABF載板,universe.biz manual_v1
8046,pcb,substrate,IC與ABF載板,universe.biz manual_v1
3189,pcb,substrate,IC與ABF載板,universe.biz manual_v1
2308,powersupply,psu,電源供應與電能管理,universe.biz manual_v1
2301,powersupply,psu,電源供應與電能管理,universe.biz manual_v1
6412,powersupply,psu,電源供應與電能管理,universe.biz manual_v1
6282,powersupply,psu,電源供應與電能管理,universe.biz manual_v1
3078,powersupply,psu,電源供應與電能管理,universe.biz manual_v1
3015,powersupply,psu,電源供應與電能管理,universe.biz manual_v1
3211,powersupply,battery,電池模組與BBU,universe.biz manual_v1
6781,powersupply,battery,電池模組與BBU,universe.biz manual_v1
2457,powersupply,psu,電源供應與電能管理,universe.biz manual_v1
8109,powersupply,psu,電源供應與電能管理,universe.biz manual_v1
